Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";1;20;kg;5;;;;0;"";"";1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";2;20;kg;5;;;;0;;;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";3;20;kg;6;;;;0;;;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Lat Pulldown (Cable)";1;30;kg;5;;;;0;"";;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Lat Pulldown (Cable)";2;30;kg;5;;;;0;;;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Lat Pulldown (Cable)";3;30;kg;12;;;;0;;;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Squat (Barbell)";1;30;kg;5;;;;0;"";;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Squat (Barbell)";2;30;kg;5;;;;0;;;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Squat (Barbell)";3;30;kg;11;;;;0;;;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Face Pull (Cable)";1;10;kg;8;;;;0;"";;1h 3m
2019-10-18 18:20:25;"GSLP (SQ&OHP)";"Face Pull (Cable)";2;10;kg;8;;;;0;;;1h 3m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";1;30;kg;5;;;;0;"";"";1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";2;30;kg;5;;;;0;;;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";3;30;kg;11;;;;0;;;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Squat (Barbell)";1;35;kg;5;;;;0;"";;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Squat (Barbell)";2;35;kg;5;;;;0;;;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Squat (Barbell)";3;35;kg;12;;;;0;;;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";1;30;kg;5;;;;0;"";;1h 10m
